vpID,scenID,choice,locPos,note,prozent,anzahl,photoID,sex,geschlecht,alter,internetnutzung,arztbesuche,
Cheo31,12,,4,1.6,89,116,,m,f,21,26,4,
Cheo31,23,,1,1.1,97,8,20,f,f,21,26,4,
Cheo31,23,,2,1.4,90,36,18,f,f,21,26,4,
Cheo31,23,,3,1.5,91,22,16,f,f,21,26,4,
Cheo31,23,4,4,1.1,100,6,33,m,f,21,26,4,
Cheo31,7,,1,2.2,72,100,,f,f,21,26,4,
Cheo31,7,2,2,1.5,90,15,,f,f,21,26,4,
Cheo31,7,,3,1.6,86,7,,m,f,21,26,4,
Cheo31,7,,4,2.1,79,85,,m,f,21,26,4,
Cheo31,16,,1,1.9,79,118,23,f,f,21,26,4,
Cheo31,16,2,2,1.8,87,13,29,m,f,21,26,4,
Cheo31,16,,3,1.8,80,13,26,m,f,21,26,4,
Cheo31,16,,4,2.4,75,84,31,m,f,21,26,4,
Cheo31,30,1,1,1.9,78,95,,m,f,21,26,4,
Cheo31,30,,2,2.2,70,88,,m,f,21,26,4,
Cheo31,30,,3,2.3,70,28,19,f,f,21,26,4,
Cheo31,30,,4,2.4,73,24,38,m,f,21,26,4,
Cheo31,31,,1,2.1,69,89,,m,f,21,26,4,
Cheo31,31,,2,2.2,77,102,,m,f,21,26,4,
Cheo31,31,,3,2.0,70,6,15,f,f,21,26,4,
Cheo31,31,4,4,2.1,67,5,22,f,f,21,26,4,
Cheo31,21,1,1,1.1,99,49,14,f,f,21,26,4,
Cheo31,21,,2,1.6,81,104,27,m,f,21,26,4,
Cheo31,21,,3,1.6,87,86,12,f,f,21,26,4,
Cheo31,21,,4,1.2,100,33,13,f,f,21,26,4,
Cheo31,39,1,1,1.5,88,97,17,f,f,21,26,4,
Cheo31,39,,2,1.4,84,72,14,f,f,21,26,4,
Cheo31,39,,3,2.1,77,97,,f,f,21,26,4,
Cheo31,39,,4,2.0,73,70,,m,f,21,26,4,
Cheo31,27,,1,1.8,92,44,15,f,f,21,26,4,
Cheo31,27,,2,1.4,91,79,,f,f,21,26,4,
Cheo31,27,,3,1.8,88,115,,m,f,21,26,4,
Cheo31,27,4,4,1.8,88,46,21,f,f,21,26,4,
Cheo31,38,,1,1.5,89,35,,f,f,21,26,4,
Cheo31,38,2,2,1.5,94,46,,f,f,21,26,4,
Cheo31,38,,3,1.0,98,43,12,f,f,21,26,4,
Cheo31,38,,4,1.1,96,38,23,f,f,21,26,4,
Cheo31,41,1,1,1.1,98,102,22,f,f,21,26,4,
Cheo31,41,,2,1.6,89,90,,f,f,21,26,4,
Cheo31,41,,3,1.8,82,79,,m,f,21,26,4,
Cheo31,41,,4,1.0,96,117,12,f,f,21,26,4,
Cheo31,33,,1,2.2,67,5,,f,f,21,26,4,
Cheo31,33,2,2,2.0,74,11,,f,f,21,26,4,
Cheo31,33,,3,1.4,81,9,15,f,f,21,26,4,
Cheo31,33,,4,1.8,87,11,41,m,f,21,26,4,
Cheo31,36,,1,1.4,91,30,18,f,f,21,26,4,
Cheo31,36,,2,2.0,73,31,,f,f,21,26,4,
Cheo31,36,,3,1.9,73,27,,m,f,21,26,4,
Cheo31,36,4,4,1.8,89,22,17,f,f,21,26,4,
Cheo31,18,,1,1.1,97,6,37,m,f,21,26,4,
Cheo31,18,2,2,2.4,74,92,17,f,f,21,26,4,
Cheo31,18,,3,1.3,97,14,15,f,f,21,26,4,
Cheo31,18,,4,1.9,72,83,12,f,f,21,26,4,
Cheo31,22,,1,1.5,91,100,39,m,f,21,26,4,
Cheo31,22,2,2,1.2,95,11,17,f,f,21,26,4,
Cheo31,22,,3,1.5,91,78,37,m,f,21,26,4,
Cheo31,22,,4,1.2,95,5,28,m,f,21,26,4,
Cheo31,8,,1,1.3,95,28,,m,f,21,26,4,
Cheo31,8,,2,2.3,68,120,,m,f,21,26,4,
Cheo31,8,,3,1.1,100,33,,f,f,21,26,4,
Cheo31,8,4,4,2.0,73,118,,m,f,21,26,4,
Cheo31,28,,1,1.4,90,80,,f,f,21,26,4,
Cheo31,28,,2,1.7,86,15,12,f,f,21,26,4,
Cheo31,28,,3,1.7,88,10,15,f,f,21,26,4,
Cheo31,28,4,4,1.7,90,71,,m,f,21,26,4,
Cheo31,32,,1,2.0,74,25,,f,f,21,26,4,
Cheo31,32,,2,1.9,67,24,,m,f,21,26,4,
Cheo31,32,3,3,1.9,67,10,21,f,f,21,26,4,
Cheo31,32,,4,2.2,67,49,,m,f,21,26,4,
Cheo31,17,1,1,1.3,97,28,14,f,f,21,26,4,
Cheo31,17,,2,2.4,68,92,23,f,f,21,26,4,
Cheo31,17,,3,2.2,68,104,26,m,f,21,26,4,
Cheo31,17,,4,1.3,100,22,37,m,f,21,26,4,
Cheo31,9,1,1,1.2,95,5,,m,f,21,26,4,
Cheo31,9,,2,1.9,70,96,,m,f,21,26,4,
Cheo31,9,,3,1.9,67,99,,f,f,21,26,4,
Cheo31,9,,4,1.1,99,14,,m,f,21,26,4,
Cheo31,20,,1,1.3,96,8,34,m,f,21,26,4,
Cheo31,20,2,2,1.3,95,13,37,m,f,21,26,4,
Cheo31,20,,3,2.4,70,25,26,m,f,21,26,4,
Cheo31,20,,4,2.2,73,46,31,m,f,21,26,4,
Cheo31,13,,1,1.0,96,15,,f,f,21,26,4,
Cheo31,13,,2,1.6,82,114,,f,f,21,26,4,
Cheo31,13,3,3,1.5,92,72,,f,f,21,26,4,
Cheo31,13,,4,1.1,100,12,,m,f,21,26,4,
Cheo31,24,,1,1.3,98,88,,f,f,21,26,4,
Cheo31,24,,2,1.2,98,44,31,m,f,21,26,4,
Cheo31,24,3,3,1.2,98,42,27,m,f,21,26,4,
Cheo31,24,,4,1.0,100,101,,m,f,21,26,4,
Cheo31,25,,1,1.2,95,70,,f,f,21,26,4,
Cheo31,25,,2,1.1,100,118,,m,f,21,26,4,
Cheo31,25,3,3,1.1,96,15,27,m,f,21,26,4,
Cheo31,25,,4,1.0,99,15,23,f,f,21,26,4,
