vpID;scenID;choice;locPos;note;prozent;anzahl;photoID;sex;
ando29;20;2;2;1.3;98;15;12;f;
ando29;20;;3;2.2;68;45;30;m;
ando29;20;;4;1.3;98;8;16;f;
ando29;32;1;1;2.0;77;37;;m;
ando29;32;;2;2.3;72;15;37;m;
ando29;32;;3;2.3;67;48;;m;
ando29;32;;4;1.9;68;47;;f;
ando29;31;;1;2.1;67;91;;f;
ando29;31;;2;2.4;74;7;13;f;
ando29;31;;3;2.1;69;10;29;m;
ando29;31;4;4;1.9;76;76;;f;
ando29;6;1;1;1.4;84;32;;m;
ando29;6;;2;2.4;73;78;;m;
ando29;6;;3;1.4;80;33;;f;
ando29;6;;4;2.0;72;109;;f;
ando29;9;;1;1.2;98;5;;m;
ando29;9;;2;2.3;76;93;;m;
ando29;9;3;3;1.1;95;8;;m;
ando29;9;;4;2.3;70;81;;m;
ando29;13;;1;1.1;95;10;;m;
ando29;13;;2;1.7;86;95;;m;
ando29;13;;3;1.6;85;118;;f;
ando29;13;4;4;1.3;98;11;;f;
ando29;36;;1;2.0;79;25;;f;
ando29;36;2;2;1.4;88;24;38;m;
ando29;36;;3;1.8;89;38;31;m;
ando29;36;;4;2.0;77;49;;f;
ando29;7;;1;1.8;90;11;;m;
ando29;7;2;2;1.5;91;15;;f;
ando29;7;;3;2.4;69;111;;m;
ando29;7;;4;1.9;79;77;;f;
ando29;23;;1;1.8;87;21;14;f;
ando29;23;;2;1.5;93;27;12;f;
ando29;23;3;3;1.0;99;9;41;m;
ando29;23;;4;1.3;95;10;24;f;
ando29;40;;1;2.2;77;100;;m;
ando29;40;;2;1.0;97;70;16;f;
ando29;40;;3;2.2;67;71;;f;
ando29;40;4;4;1.0;97;92;13;f;
ando29;11;;1;1.9;77;21;;f;
ando29;11;2;2;1.3;99;13;;m;
ando29;11;;3;2.0;73;29;;f;
ando29;11;;4;1.2;96;9;;m;
ando29;14;;1;1.8;82;34;;m;
ando29;14;;2;1.5;93;32;;f;
ando29;14;;3;1.1;96;10;;f;
ando29;14;4;4;1.1;99;12;;m;
Anen27;36;;1;1.8;81;22;22;f;
Anen27;36;;2;2.0;72;37;;m;
Anen27;36;;3;2.0;72;27;;f;
Anen27;36;4;4;1.8;82;46;27;m;
Anen27;9;;1;2.0;69;110;;m;
Anen27;9;;2;2.3;69;110;;f;
Anen27;9;;3;1.2;98;11;;f;
Anen27;9;4;4;1.2;96;8;;m;
Anen27;22;;1;1.5;93;111;15;f;
Anen27;22;;2;1.2;95;12;24;f;
Anen27;22;;3;1.0;100;5;19;f;
Anen27;22;4;4;1.5;93;99;27;m;
Anen27;8;;1;1.3;98;39;;m;
Anen27;8;;2;2.3;68;76;;m;
Anen27;8;;3;1.9;70;92;;f;
Anen27;8;4;4;1.3;99;31;;m;
Anen27;31;;1;2.2;78;105;;m;
Anen27;31;;2;2.4;69;10;28;m;
Anen27;31;3;3;1.9;74;98;;m;
Anen27;31;;4;1.9;67;7;39;m;
Anen27;38;1;1;1.0;96;36;35;m;
Anen27;38;;2;1.8;84;22;;m;
Anen27;38;;3;1.3;96;29;21;f;
Anen27;38;;4;1.7;94;44;;m;
Anen27;13;1;1;1.8;87;117;;f;
Anen27;13;;2;1.3;99;7;;m;
Anen27;13;;3;1.6;81;104;;m;
Anen27;13;;4;1.3;97;12;;m;
Anen27;28;1;1;1.4;80;11;35;m;
Anen27;28;;2;1.8;83;70;;f;
Anen27;28;;3;1.7;92;6;27;m;
Anen27;28;;4;1.8;93;94;;m;
Anen27;40;;1;1.3;96;77;25;m;
Anen27;40;;2;2.3;72;99;;f;
Anen27;40;3;3;1.2;100;96;38;m;
Anen27;40;;4;1.9;71;107;;f;
Anen27;26;;1;1.2;96;22;;f;
Anen27;26;2;2;1.1;99;44;;m;
Anen27;26;;3;1.0;95;12;27;m;
Anen27;26;;4;1.3;99;6;15;f;
Anen27;15;;1;1.6;90;39;33;m;
Anen27;15;;2;1.7;93;37;22;f;
Anen27;15;3;3;2.3;73;82;28;m;
Anen27;15;;4;2.2;69;71;14;f;
Anen27;24;1;1;1.1;97;31;11;f;
Anen27;24;;2;1.0;97;81;;f;
Anen27;24;;3;1.1;100;42;24;f;
Anen27;24;;4;1.1;97;120;;f;
Anen27;33;;1;1.6;91;8;37;m;
Anen27;33;;2;2.3;67;9;;f;
Anen27;33;;3;2.2;69;7;;f;
Anen27;33;4;4;1.6;81;12;19;f;
Anen27;32;1;1;1.9;71;32;;m;
Anen27;32;;2;2.2;76;6;41;m;
Anen27;32;;3;2.4;66;23;;m;
Anen27;32;;4;2.4;75;35;;m;
