vpID,scenID,choice,locPos,note,prozent,anzahl,photoID,sex,
Asns06,33,1,1,1.4,81,10,32,m,
Asns06,33,,2,2.2,78,7,,f,
Asns06,33,,3,1.9,77,14,,m,
Asns06,33,,4,1.5,84,6,24,f,
Asns06,26,,1,1.3,96,14,13,f,
Asns06,26,2,2,1.1,96,43,,f,
Asns06,26,,3,1.0,96,23,,f,
Asns06,26,,4,1.1,96,6,28,m,
Asns06,27,,1,1.6,93,41,17,f,
Asns06,27,2,2,1.4,86,119,,f,
Asns06,27,,3,1.4,93,70,,m,
Asns06,27,,4,1.4,89,49,20,f,
Asns06,29,,1,1.8,90,43,,m,
Asns06,29,,2,1.4,86,37,,m,
Asns06,29,3,3,1.8,93,11,15,f,
Asns06,29,,4,1.6,86,7,20,f,
Asns06,24,,1,1.1,99,111,,f,
Asns06,24,2,2,1.1,98,32,34,m,
Asns06,24,,3,1.3,97,111,,m,
Asns06,24,,4,1.2,97,32,28,m,
Asns06,19,,1,1.8,80,7,12,f,
Asns06,19,,2,2.3,68,27,14,f,
Asns06,19,3,3,1.8,82,13,18,f,
Asns06,19,,4,2.3,79,41,31,m,
Asns06,15,,1,2.1,67,91,16,f,
Asns06,15,2,2,1.6,91,27,36,m,
Asns06,15,,3,2.3,71,104,20,f,
Asns06,15,,4,1.7,82,37,41,m,
Asns06,37,,1,2.2,78,28,,m,
Asns06,37,,2,2.1,69,28,,m,
Asns06,37,3,3,1.1,97,22,38,m,
Asns06,37,,4,1.0,99,28,39,m,
Asns06,22,,1,1.1,100,9,15,f,
Asns06,22,2,2,1.3,99,13,25,m,
Asns06,22,,3,1.4,89,74,24,f,
Asns06,22,,4,1.5,82,112,27,m,
Asns06,7,,1,2.3,66,106,,f,
Asns06,7,,2,1.7,94,7,,f,
Asns06,7,3,3,1.6,92,10,,m,
Asns06,7,,4,2.3,79,86,,m,
Asns06,32,,1,2.1,67,15,38,m,
Asns06,32,2,2,2.3,75,31,,f,
Asns06,32,,3,2.4,66,34,,m,
Asns06,32,,4,2.3,78,28,,f,
Asns06,34,,1,2.2,76,12,,f,
Asns06,34,2,2,1.1,97,13,27,m,
Asns06,34,,3,2.4,75,7,,f,
Asns06,34,,4,1.1,99,9,12,f,
